#
Processors:8
Tasks:20
# task computation cost on each processor
0 49 53 56 38 26 34 44 45 
1 29 30 28 23 28 22 29 31 
2 70 68 37 61 85 59 69 41 
3 41 58 18 34 68 70 26 20 
4 10 41 40 22 34 20 31 16 
5 48 45 94 51 50 115 50 48 
6 39 15 38 35 20 18 36 43 
7 9 17 24 23 8 15 11 10 
8 85 43 54 76 23 90 43 61 
9 30 7 8 27 29 10 33 25 
10 93 77 41 24 90 79 35 26 
11 44 70 101 73 89 82 25 31 
12 16 18 18 15 12 15 18 15 
13 37 34 46 21 30 44 41 25 
14 31 37 17 31 35 43 34 41 
15 25 40 18 76 54 47 65 38 
16 11 4 19 18 17 18 18 15 
17 73 63 25 68 26 92 74 78 
18 19 15 21 16 18 9 11 19 
19 46 32 32 45 24 39 55 27 
Dependencies:28
# from_task_id to_task_id weight
0 1 17
0 3 7
0 5 11
0 7 15
0 9 16
0 11 8
0 14 12
1 2 11
1 15 12
2 19 11
3 4 7
4 19 19
5 6 15
5 13 12
6 17 14
7 8 12
8 16 13
9 10 17
9 17 20
10 19 7
11 12 17
12 13 13
13 17 7
14 15 10
15 19 18
16 17 12
17 18 16
18 19 13
