#
Processors:8
Tasks:24
# task computation cost on each processor
0 18 11 4 16 9 17 10 8 
1 89 36 93 64 77 65 28 70 
2 10 6 12 7 3 3 6 5 
3 15 10 4 4 12 17 13 7 
4 55 96 37 101 34 27 67 115 
5 7 12 8 7 9 6 4 8 
6 49 74 60 69 47 55 47 26 
7 35 12 39 34 11 17 10 23 
8 17 12 7 16 4 14 13 8 
9 10 29 30 31 9 14 21 31 
10 37 24 19 52 39 14 32 47 
11 12 15 9 14 13 11 10 7 
12 60 40 87 63 71 67 44 29 
13 12 6 15 7 14 12 13 5 
14 10 7 9 17 6 20 13 14 
15 14 8 6 6 14 12 13 11 
16 51 59 46 82 73 66 78 50 
17 7 3 4 4 12 6 11 11 
18 96 63 65 32 62 43 88 92 
19 14 8 6 13 9 8 14 12 
20 38 54 32 85 49 38 53 73 
21 11 25 18 14 19 12 13 23 
22 27 16 35 19 30 12 22 40 
23 36 43 14 41 20 37 15 35 
Dependencies:38
# from_task_id to_task_id weight
0 1 8
0 3 7
0 6 8
0 8 7
0 11 13
0 14 9
0 20 5
1 2 5
1 5 4
1 19 5
1 22 7
2 12 12
3 4 10
3 18 11
3 21 11
4 5 12
4 19 12
4 22 6
5 23 6
6 7 7
7 23 4
8 9 7
8 15 9
9 10 10
10 23 4
11 15 5
12 13 11
13 23 6
14 15 10
15 16 7
15 17 12
16 23 13
17 18 5
18 19 5
19 23 5
20 21 8
21 23 6
22 23 9
