#
Processors:8
Tasks:20
# task computation cost on each processor
0 24 7 26 28 26 26 20 6 
1 15 5 18 14 11 18 10 17 
2 84 34 58 92 98 89 69 73 
3 46 95 35 97 54 69 40 24 
4 43 36 43 29 20 23 32 18 
5 29 40 41 10 25 33 15 37 
6 22 10 28 21 26 23 35 28 
7 23 11 29 13 34 31 27 15 
8 46 25 44 38 40 12 20 32 
9 11 20 25 36 30 29 24 36 
10 14 13 30 25 15 18 22 22 
11 55 109 37 102 91 64 85 46 
12 8 7 12 9 10 12 4 12 
13 9 14 11 7 11 12 9 3 
14 42 33 40 105 104 87 28 23 
15 77 45 55 100 43 113 91 33 
16 3 14 8 11 10 14 14 6 
17 14 15 6 5 7 13 10 13 
18 69 53 46 27 25 24 100 86 
19 29 34 36 28 28 9 20 12 
Dependencies:27
# from_task_id to_task_id weight
0 1 7
0 3 9
0 5 14
1 2 13
2 13 6
2 17 12
3 4 8
4 11 18
4 15 8
5 6 9
6 7 12
6 8 16
6 10 6
7 19 9
8 9 11
9 10 7
10 19 12
11 12 6
11 16 17
12 19 17
13 14 13
13 18 9
14 19 12
15 16 16
16 19 14
17 18 15
18 19 16
