#
Processors:8
Tasks:23
# task computation cost on each processor
0 24 26 25 11 8 7 12 17 
1 77 59 70 78 26 24 63 61 
2 22 16 18 17 16 6 21 22 
3 17 15 15 6 9 5 17 16 
4 19 50 23 14 51 41 51 35 
5 40 33 38 37 34 18 14 32 
6 17 19 48 15 48 46 33 23 
7 14 52 49 21 51 22 22 57 
8 44 38 36 40 14 19 26 31 
9 24 39 42 40 34 36 25 24 
10 13 30 30 40 34 13 30 25 
11 14 10 11 19 10 11 21 16 
12 16 13 37 13 32 31 36 33 
13 44 49 15 32 59 18 33 31 
14 56 48 59 28 49 57 51 19 
15 72 37 98 61 62 92 70 105 
16 17 31 10 46 36 43 28 46 
17 25 41 37 48 49 45 46 23 
18 27 40 19 56 20 14 47 54 
19 19 25 41 51 20 35 52 55 
20 18 12 24 30 20 48 29 42 
21 38 59 38 36 67 14 39 57 
22 32 26 34 39 29 13 36 34 
Dependencies:34
# from_task_id to_task_id weight
0 1 6
0 3 11
0 6 14
0 10 5
0 16 14
1 2 7
1 11 8
2 22 9
3 4 11
4 5 9
5 22 11
6 7 14
7 8 14
7 9 7
7 18 13
7 20 7
8 13 13
8 15 11
9 19 12
9 21 15
10 11 14
10 12 8
11 22 11
12 13 12
13 14 8
13 17 5
14 22 8
15 17 12
16 17 14
17 22 6
18 19 16
19 20 10
20 21 6
21 22 16
