#
Processors:8
Tasks:21
# task computation cost on each processor
0 19 8 16 20 10 7 8 13 
1 25 12 18 31 13 8 20 28 
2 74 18 27 39 41 80 90 87 
3 35 28 8 16 33 19 13 29 
4 32 71 68 39 37 65 54 38 
5 55 40 83 50 81 93 66 42 
6 4 4 16 6 13 18 5 11 
7 24 9 20 24 19 21 19 27 
8 41 30 85 75 30 70 83 81 
9 5 19 10 15 19 10 19 9 
10 85 34 19 22 73 58 21 56 
11 8 16 25 21 22 18 23 14 
12 26 34 69 31 27 63 20 67 
13 10 6 22 16 21 20 15 13 
14 20 13 11 12 11 16 19 8 
15 7 13 15 14 7 7 13 10 
16 6 22 16 4 7 14 18 16 
17 26 102 42 44 71 47 84 76 
18 26 40 43 31 43 45 30 48 
19 49 56 61 25 41 42 52 51 
20 42 20 46 39 44 26 47 41 
Dependencies:29
# from_task_id to_task_id weight
0 1 6
0 3 8
0 5 10
0 9 14
0 12 16
0 15 10
0 18 12
1 2 7
1 4 13
2 7 14
3 4 6
4 20 14
5 6 7
6 20 11
7 8 16
8 16 12
9 10 10
10 11 8
10 14 15
11 20 13
12 13 11
13 14 13
14 20 14
15 16 13
15 17 5
16 17 10
17 20 7
18 19 15
19 20 7
