#
Processors:8
Tasks:22
# task computation cost on each processor
0 33 35 41 37 21 35 39 21 
1 75 68 34 72 69 49 43 49 
2 24 13 26 26 27 19 13 21 
3 86 74 63 65 54 82 57 41 
4 21 25 27 15 7 8 14 12 
5 12 35 33 28 32 36 19 17 
6 12 53 45 53 47 36 39 36 
7 13 13 21 26 16 26 23 14 
8 60 26 58 52 24 36 30 25 
9 11 22 21 42 25 18 37 19 
10 2 2 2 3 1 0 1 2 
11 76 48 87 26 91 57 72 71 
12 51 33 15 45 44 38 52 28 
13 6 14 5 6 17 20 7 16 
14 16 67 14 14 31 54 45 68 
15 28 18 22 55 11 45 47 24 
16 12 12 8 6 4 12 16 4 
17 22 58 45 84 33 58 76 84 
18 15 4 11 16 20 11 16 14 
19 65 83 88 108 67 111 119 95 
20 37 48 10 17 15 14 19 39 
21 21 13 22 7 12 19 19 26 
Dependencies:37
# from_task_id to_task_id weight
0 1 11
0 5 6
0 8 14
0 10 11
0 14 14
0 16 11
0 19 10
1 2 7
1 7 10
2 3 5
3 4 12
3 7 8
3 18 8
4 21 11
5 6 9
6 7 13
6 18 13
7 21 5
8 9 5
8 15 9
9 13 13
9 20 10
10 11 5
11 12 7
11 13 10
11 20 7
12 13 10
12 17 12
12 20 9
13 21 8
14 15 9
15 21 5
16 17 10
17 18 9
18 21 9
19 20 13
20 21 6
